English VP,Japanese VP
protect,まもる (mamoru)
protected,まもった (mamotta)
will protect,まもる (mamoru)
doesn't protect,まもらない (mamoranai)
didn't protect,まもらなかった (mamoranakatta)
won't protect,まもらない (mamoranai)
protecting,まもっている (mamotteiru)
was protecting,まもっていた (mamotteita)
will be protecting,まもっている (mamotteiru)
not protecting,まもっていない (mamotteinai)
was not protecting,まもっていなかった (mamotteinakatta)
will not be protecting,まもっていない (mamotteinai)
have protected,まもった (mamotta)
had protected,まもった (mamotta)
will have protected,まもる (mamoru)
have not protected,まもらなかった (mamoranakatta)
had not protected,まもらなかった (mamoranakatta)
will have not protected,まもらない (mamoranai)
have being protecting,まもっている (mamotteiru)
had been protecting,まもっていた (mamotteita)
will have been protecting,まもっている (mamotteiru)
have not being protecting,まもっていない (mamotteinai)
had not been protecting,まもっていなかった (mamotteinakatta)
will have not been protecting,まもっていない (mamotteinai)
pay,はらう (harau)
paied,はらった (haratta)
will pay,はらう (harau)
doesn't pay,はらわない (harawanai)
didn't pay,はらわなかった (harawanakatta)
won't pay,はらわない (harawanai)
paying,はらっている (haratteiru)
was paying,はらっていた (haratteita)
will be paying,はらっている (haratteiru)
not paying,はらっていない (haratteinai)
was not paying,はらっていなかった (haratteinakatta)
will not be paying,はらっていない (haratteinai)
have paied,はらった (haratta)
had paied,はらった (haratta)
will have paied,はらう (harau)
have not paied,はらわなかった (harawanakatta)
had not paied,はらわなかった (harawanakatta)
will have not paied,はらわない (harawanai)
have being paying,はらっている (haratteiru)
had been paying,はらっていた (haratteita)
will have been paying,はらっている (haratteiru)
have not being paying,はらっていない (haratteinai)
had not been paying,はらっていなかった (haratteinakatta)
will have not been paying,はらっていない (haratteinai)
stand,たつ (tatsu)
standed,たった (tatta)
will stand,たつ (tatsu)
doesn't stand,たたない (tatanai)
didn't stand,たたなかった (tatanakatta)
won't stand,たたない (tatanai)
standing,たっている (tatteiru)
was standing,たっていた (tatteita)
will be standing,たっている (tatteiru)
not standing,たっていない (tatteinai)
was not standing,たっていなかった (tatteinakatta)
will not be standing,たっていない (tatteinai)
have standed,たった (tatta)
had standed,たった (tatta)
will have standed,たつ (tatsu)
have not standed,たたなかった (tatanakatta)
had not standed,たたなかった (tatanakatta)
will have not standed,たたない (tatanai)
have being standing,たっている (tatteiru)
had been standing,たっていた (tatteita)
will have been standing,たっている (tatteiru)
have not being standing,たっていない (tatteinai)
had not been standing,たっていなかった (tatteinakatta)
will have not been standing,たっていない (tatteinai)
remember,おぼえる (oboeru)
remembered,おぼえた (oboeta)
will remember,おぼえる (oboeru)
doesn't remember,おぼえない (oboenai)
didn't remember,おぼえなかった (oboenakatta)
won't remember,おぼえない (oboenai)
remembering,おぼえている (oboeteiru)
was remembering,おぼえていた (oboeteita)
will be remembering,おぼえている (oboeteiru)
not remembering,おぼえていない (oboeteinai)
was not remembering,おぼえていなかった (oboeteinakatta)
will not be remembering,おぼえていない (oboeteinai)
have remembered,おぼえた (oboeta)
had remembered,おぼえた (oboeta)
will have remembered,おぼえる (oboeru)
have not remembered,おぼえなかった (oboenakatta)
had not remembered,おぼえなかった (oboenakatta)
will have not remembered,おぼえない (oboenai)
have being remembering,おぼえている (oboeteiru)
had been remembering,おぼえていた (oboeteita)
will have been remembering,おぼえている (oboeteiru)
have not being remembering,おぼえていない (oboeteinai)
had not been remembering,おぼえていなかった (oboeteinakatta)
will have not been remembering,おぼえていない (oboeteinai)
count,かぞえる (kazoeru)
counted,かぞえった (kazoetta)
will count,かぞえる (kazoeru)
doesn't count,かぞえらない (kazoeranai)
didn't count,かぞえらなかった (kazoeranakatta)
won't count,かぞえらない (kazoeranai)
counting,かぞえっている (kazoetteiru)
was counting,かぞえっていた (kazoetteita)
will be counting,かぞえっている (kazoetteiru)
not counting,かぞえっていない (kazoetteinai)
was not counting,かぞえっていなかった (kazoetteinakatta)
will not be counting,かぞえっていない (kazoetteinai)
have counted,かぞえった (kazoetta)
had counted,かぞえった (kazoetta)
will have counted,かぞえる (kazoeru)
have not counted,かぞえらなかった (kazoeranakatta)
had not counted,かぞえらなかった (kazoeranakatta)
will have not counted,かぞえらない (kazoeranai)
have being counting,かぞえっている (kazoetteiru)
had been counting,かぞえっていた (kazoetteita)
will have been counting,かぞえっている (kazoetteiru)
have not being counting,かぞえっていない (kazoetteinai)
had not been counting,かぞえっていなかった (kazoetteinakatta)
will have not been counting,かぞえっていない (kazoetteinai)
understand,わかる (wakaru)
understood,わかった (wakatta)
will understand,わかる (wakaru)
doesn't understand,わからない (wakaranai)
didn't understand,わからなかった (wakaranakatta)
won't understand,わからない (wakaranai)
understanding,わかっている (wakatteiru)
was understanding,わかっていた (wakatteita)
will be understanding,わかっている (wakatteiru)
not understanding,わかっていない (wakatteinai)
was not understanding,わかっていなかった (wakatteinakatta)
will not be understanding,わかっていない (wakatteinai)
have understood,わかった (wakatta)
had understood,わかった (wakatta)
will have understood,わかる (wakaru)
have not understood,わからなかった (wakaranakatta)
had not understood,わからなかった (wakaranakatta)
will have not understood,わからない (wakaranai)
have being understanding,わかっている (wakatteiru)
had been understanding,わかっていた (wakatteita)
will have been understanding,わかっている (wakatteiru)
have not being understanding,わかっていない (wakatteinai)
had not been understanding,わかっていなかった (wakatteinakatta)
will have not been understanding,わかっていない (wakatteinai)
know,わかる (wakaru)
knew,わかった (wakatta)
will know,わかる (wakaru)
doesn't know,わからない (wakaranai)
didn't know,わからなかった (wakaranakatta)
won't know,わからない (wakaranai)
knowing,わかっている (wakatteiru)
was knowing,わかっていた (wakatteita)
will be knowing,わかっている (wakatteiru)
not knowing,わかっていない (wakatteinai)
was not knowing,わかっていなかった (wakatteinakatta)
will not be knowing,わかっていない (wakatteinai)
have knew,わかった (wakatta)
had knew,わかった (wakatta)
will have knew,わかる (wakaru)
have not knew,わからなかった (wakaranakatta)
had not knew,わからなかった (wakaranakatta)
will have not knew,わからない (wakaranai)
have being knowing,わかっている (wakatteiru)
had been knowing,わかっていた (wakatteita)
will have been knowing,わかっている (wakatteiru)
have not being knowing,わかっていない (wakatteinai)
had not been knowing,わかっていなかった (wakatteinakatta)
will have not been knowing,わかっていない (wakatteinai)
kill,ころす (korosu)
killed,ころした (koroshita)
will kill,ころす (korosu)
doesn't kill,ころさない (korosanai)
didn't kill,ころさなかった (korosanakatta)
won't kill,ころさない (korosanai)
killing,ころしている (koroshiteiru)
was killing,ころしていた (koroshiteita)
will be killing,ころしている (koroshiteiru)
not killing,ころしていない (koroshiteinai)
was not killing,ころしていなかった (koroshiteinakatta)
will not be killing,ころしていない (koroshiteinai)
have killed,ころした (koroshita)
had killed,ころした (koroshita)
will have killed,ころす (korosu)
have not killed,ころさなかった (korosanakatta)
had not killed,ころさなかった (korosanakatta)
will have not killed,ころさない (korosanai)
have being killing,ころしている (koroshiteiru)
had been killing,ころしていた (koroshiteita)
will have been killing,ころしている (koroshiteiru)
have not being killing,ころしていない (koroshiteinai)
had not been killing,ころしていなかった (koroshiteinakatta)
will have not been killing,ころしていない (koroshiteinai)
swell,ふくらむ (fukuramu)
swelled,ふくらんだ (fukurannda)
will swell,ふくらむ (fukuramu)
doesn't swell,ふくらまない (fukuramanai)
didn't swell,ふくらまなかった (fukuramanakatta)
won't swell,ふくらまない (fukuramanai)
swelling,ふくらんでいる (fukuranndeiru)
was swelling,ふくらんでいた (fukuranndeita)
will be swelling,ふくらんでいる (fukuranndeiru)
not swelling,ふくらんでいない (fukuranndeinai)
was not swelling,ふくらんでいなかった (fukuranndeinakatta)
will not be swelling,ふくらんでいない (fukuranndeinai)
have swelled,ふくらんだ (fukurannda)
had swelled,ふくらんだ (fukurannda)
will have swelled,ふくらむ (fukuramu)
have not swelled,ふくらまなかった (fukuramanakatta)
had not swelled,ふくらまなかった (fukuramanakatta)
will have not swelled,ふくらまない (fukuramanai)
have being swelling,ふくらんでいる (fukuranndeiru)
had been swelling,ふくらんでいた (fukuranndeita)
will have been swelling,ふくらんでいる (fukuranndeiru)
have not being swelling,ふくらんでいない (fukuranndeinai)
had not been swelling,ふくらんでいなかった (fukuranndeinakatta)
will have not been swelling,ふくらんでいない (fukuranndeinai)
jump,はねる (haneru)
jumped,はねった (hanetta)
will jump,はねる (haneru)
doesn't jump,はねらない (haneranai)
didn't jump,はねらなかった (haneranakatta)
won't jump,はねらない (haneranai)
jumping,はねっている (hanetteiru)
was jumping,はねっていた (hanetteita)
will be jumping,はねっている (hanetteiru)
not jumping,はねっていない (hanetteinai)
was not jumping,はねっていなかった (hanetteinakatta)
will not be jumping,はねっていない (hanetteinai)
have jumped,はねった (hanetta)
had jumped,はねった (hanetta)
will have jumped,はねる (haneru)
have not jumped,はねらなかった (haneranakatta)
had not jumped,はねらなかった (haneranakatta)
will have not jumped,はねらない (haneranai)
have being jumping,はねっている (hanetteiru)
had been jumping,はねっていた (hanetteita)
will have been jumping,はねっている (hanetteiru)
have not being jumping,はねっていない (hanetteinai)
had not been jumping,はねっていなかった (hanetteinakatta)
will have not been jumping,はねっていない (hanetteinai)
step,ふむ (fumu)
steped,ふんだ (funnda)
will step,ふむ (fumu)
doesn't step,ふまない (fumanai)
didn't step,ふまなかった (fumanakatta)
won't step,ふまない (fumanai)
steping,ふんでいる (funndeiru)
was steping,ふんでいた (funndeita)
will be steping,ふんでいる (funndeiru)
not steping,ふんでいない (funndeinai)
was not steping,ふんでいなかった (funndeinakatta)
will not be steping,ふんでいない (funndeinai)
have steped,ふんだ (funnda)
had steped,ふんだ (funnda)
will have steped,ふむ (fumu)
have not steped,ふまなかった (fumanakatta)
had not steped,ふまなかった (fumanakatta)
will have not steped,ふまない (fumanai)
have being steping,ふんでいる (funndeiru)
had been steping,ふんでいた (funndeita)
will have been steping,ふんでいる (funndeiru)
have not being steping,ふんでいない (funndeinai)
had not been steping,ふんでいなかった (funndeinakatta)
will have not been steping,ふんでいない (funndeinai)
fly,とぶ (tobu)
flew,とんだ (tonnda)
will fly,とぶ (tobu)
doesn't fly,とばない (tobanai)
didn't fly,とばなかった (tobanakatta)
won't fly,とばない (tobanai)
flying,とんでいる (tonndeiru)
was flying,とんでいた (tonndeita)
will be flying,とんでいる (tonndeiru)
not flying,とんでいない (tonndeinai)
was not flying,とんでいなかった (tonndeinakatta)
will not be flying,とんでいない (tonndeinai)
have flew,とんだ (tonnda)
had flew,とんだ (tonnda)
will have flew,とぶ (tobu)
have not flew,とばなかった (tobanakatta)
had not flew,とばなかった (tobanakatta)
will have not flew,とばない (tobanai)
have being flying,とんでいる (tonndeiru)
had been flying,とんでいた (tonndeita)
will have been flying,とんでいる (tonndeiru)
have not being flying,とんでいない (tonndeinai)
had not been flying,とんでいなかった (tonndeinakatta)
will have not been flying,とんでいない (tonndeinai)
sing,うたう (utau)
sang,うたった (utatta)
will sing,うたう (utau)
doesn't sing,うたわない (utawanai)
didn't sing,うたわなかった (utawanakatta)
won't sing,うたわない (utawanai)
singing,うたっている (utatteiru)
was singing,うたっていた (utatteita)
will be singing,うたっている (utatteiru)
not singing,うたっていない (utatteinai)
was not singing,うたっていなかった (utatteinakatta)
will not be singing,うたっていない (utatteinai)
have sang,うたった (utatta)
had sang,うたった (utatta)
will have sang,うたう (utau)
have not sang,うたわなかった (utawanakatta)
had not sang,うたわなかった (utawanakatta)
will have not sang,うたわない (utawanai)
have being singing,うたっている (utatteiru)
had been singing,うたっていた (utatteita)
will have been singing,うたっている (utatteiru)
have not being singing,うたっていない (utatteinai)
had not been singing,うたっていなかった (utatteinakatta)
will have not been singing,うたっていない (utatteinai)
climb,のぼる (noboru)
climbed,のぼった (nobotta)
will climb,のぼる (noboru)
doesn't climb,のぼらない (noboranai)
didn't climb,のぼらなかった (noboranakatta)
won't climb,のぼらない (noboranai)
climbing,のぼっている (nobotteiru)
was climbing,のぼっていた (nobotteita)
will be climbing,のぼっている (nobotteiru)
not climbing,のぼっていない (nobotteinai)
was not climbing,のぼっていなかった (nobotteinakatta)
will not be climbing,のぼっていない (nobotteinai)
have climbed,のぼった (nobotta)
had climbed,のぼった (nobotta)
will have climbed,のぼる (noboru)
have not climbed,のぼらなかった (noboranakatta)
had not climbed,のぼらなかった (noboranakatta)
will have not climbed,のぼらない (noboranai)
have being climbing,のぼっている (nobotteiru)
had been climbing,のぼっていた (nobotteita)
will have been climbing,のぼっている (nobotteiru)
have not being climbing,のぼっていない (nobotteinai)
had not been climbing,のぼっていなかった (nobotteinakatta)
will have not been climbing,のぼっていない (nobotteinai)
die,しぬ (shinu)
died,しんだ (shinnda)
will die,しぬ (shinu)
doesn't die,しなない (shinanai)
didn't die,しななかった (shinanakatta)
won't die,しなない (shinanai)
dying,しんでいる (shinndeiru)
was dying,しんでいた (shinndeita)
will be dying,しんでいる (shinndeiru)
not dying,しんでいない (shinndeinai)
was not dying,しんでいなかった (shinndeinakatta)
will not be dying,しんでいない (shinndeinai)
have died,しんだ (shinnda)
had died,しんだ (shinnda)
will have died,しぬ (shinu)
have not died,しななかった (shinanakatta)
had not died,しななかった (shinanakatta)
will have not died,しなない (shinanai)
have being dying,しんでいる (shinndeiru)
had been dying,しんでいた (shinndeita)
will have been dying,しんでいる (shinndeiru)
have not being dying,しんでいない (shinndeinai)
had not been dying,しんでいなかった (shinndeinakatta)
will have not been dying,しんでいない (shinndeinai)
help,たすける (tasukeru)
helped,たすけた (tasuketa)
will help,たすける (tasukeru)
doesn't help,たすけない (tasukenai)
didn't help,たすけなかった (tasukenakatta)
won't help,たすけない (tasukenai)
helping,たすけている (tasuketeiru)
was helping,たすけていた (tasuketeita)
will be helping,たすけている (tasuketeiru)
not helping,たすけていない (tasuketeinai)
was not helping,たすけていなかった (tasuketeinakatta)
will not be helping,たすけていない (tasuketeinai)
have helped,たすけた (tasuketa)
had helped,たすけた (tasuketa)
will have helped,たすける (tasukeru)
have not helped,たすけなかった (tasukenakatta)
had not helped,たすけなかった (tasukenakatta)
will have not helped,たすけない (tasukenai)
have being helping,たすけている (tasuketeiru)
had been helping,たすけていた (tasuketeita)
will have been helping,たすけている (tasuketeiru)
have not being helping,たすけていない (tasuketeinai)
had not been helping,たすけていなかった (tasuketeinakatta)
will have not been helping,たすけていない (tasuketeinai)
study,べんきょうする (bennkyousuru)
studied,べんきょうした (bennkyoushita)
will study,べんきょうする (bennkyousuru)
doesn't study,べんきょうしない (bennkyoushinai)
didn't study,べんきょうしなかった (bennkyoushinakatta)
won't study,べんきょうしない (bennkyoushinai)
studying,べんきょうしている (bennkyoushiteiru)
was studying,べんきょうしていた (bennkyoushiteita)
will be studying,べんきょうしている (bennkyoushiteiru)
not studying,べんきょうしていない (bennkyoushiteinai)
was not studying,べんきょうしていなかった (bennkyoushiteinakatta)
will not be studying,べんきょうしていない (bennkyoushiteinai)
have studied,べんきょうした (bennkyoushita)
had studied,べんきょうした (bennkyoushita)
will have studied,べんきょうする (bennkyousuru)
have not studied,べんきょうしなかった (bennkyoushinakatta)
had not studied,べんきょうしなかった (bennkyoushinakatta)
will have not studied,べんきょうしない (bennkyoushinai)
have being studying,べんきょうしている (bennkyoushiteiru)
had been studying,べんきょうしていた (bennkyoushiteita)
will have been studying,べんきょうしている (bennkyoushiteiru)
have not being studying,べんきょうしていない (bennkyoushiteinai)
had not been studying,べんきょうしていなかった (bennkyoushiteinakatta)
will have not been studying,べんきょうしていない (bennkyoushiteinai)
investigate,ちょうさする (chousasuru)
investigated,ちょうさした (chousashita)
will investigate,ちょうさする (chousasuru)
doesn't investigate,ちょうさしない (chousashinai)
didn't investigate,ちょうさしなかった (chousashinakatta)
won't investigate,ちょうさしない (chousashinai)
investigating,ちょうさしている (chousashiteiru)
was investigating,ちょうさしていた (chousashiteita)
will be investigating,ちょうさしている (chousashiteiru)
not investigating,ちょうさしていない (chousashiteinai)
was not investigating,ちょうさしていなかった (chousashiteinakatta)
will not be investigating,ちょうさしていない (chousashiteinai)
have investigated,ちょうさした (chousashita)
had investigated,ちょうさした (chousashita)
will have investigated,ちょうさする (chousasuru)
have not investigated,ちょうさしなかった (chousashinakatta)
had not investigated,ちょうさしなかった (chousashinakatta)
will have not investigated,ちょうさしない (chousashinai)
have being investigating,ちょうさしている (chousashiteiru)
had been investigating,ちょうさしていた (chousashiteita)
will have been investigating,ちょうさしている (chousashiteiru)
have not being investigating,ちょうさしていない (chousashiteinai)
had not been investigating,ちょうさしていなかった (chousashiteinakatta)
will have not been investigating,ちょうさしていない (chousashiteinai)
exchange,こうかんする (koukannsuru)
exchanged,こうかんした (koukannshita)
will exchange,こうかんする (koukannsuru)
doesn't exchange,こうかんしない (koukannshinai)
didn't exchange,こうかんしなかった (koukannshinakatta)
won't exchange,こうかんしない (koukannshinai)
exchanging,こうかんしている (koukannshiteiru)
was exchanging,こうかんしていた (koukannshiteita)
will be exchanging,こうかんしている (koukannshiteiru)
not exchanging,こうかんしていない (koukannshiteinai)
was not exchanging,こうかんしていなかった (koukannshiteinakatta)
will not be exchanging,こうかんしていない (koukannshiteinai)
have exchanged,こうかんした (koukannshita)
had exchanged,こうかんした (koukannshita)
will have exchanged,こうかんする (koukannsuru)
have not exchanged,こうかんしなかった (koukannshinakatta)
had not exchanged,こうかんしなかった (koukannshinakatta)
will have not exchanged,こうかんしない (koukannshinai)
have being exchanging,こうかんしている (koukannshiteiru)
had been exchanging,こうかんしていた (koukannshiteita)
will have been exchanging,こうかんしている (koukannshiteiru)
have not being exchanging,こうかんしていない (koukannshiteinai)
had not been exchanging,こうかんしていなかった (koukannshiteinakatta)
will have not been exchanging,こうかんしていない (koukannshiteinai)
contact,れんらくする (rennrakusuru)
contacted,れんらくした (rennrakushita)
will contact,れんらくする (rennrakusuru)
doesn't contact,れんらくしない (rennrakushinai)
didn't contact,れんらくしなかった (rennrakushinakatta)
won't contact,れんらくしない (rennrakushinai)
contacting,れんらくしている (rennrakushiteiru)
was contacting,れんらくしていた (rennrakushiteita)
will be contacting,れんらくしている (rennrakushiteiru)
not contacting,れんらくしていない (rennrakushiteinai)
was not contacting,れんらくしていなかった (rennrakushiteinakatta)
will not be contacting,れんらくしていない (rennrakushiteinai)
have contacted,れんらくした (rennrakushita)
had contacted,れんらくした (rennrakushita)
will have contacted,れんらくする (rennrakusuru)
have not contacted,れんらくしなかった (rennrakushinakatta)
had not contacted,れんらくしなかった (rennrakushinakatta)
will have not contacted,れんらくしない (rennrakushinai)
have being contacting,れんらくしている (rennrakushiteiru)
had been contacting,れんらくしていた (rennrakushiteita)
will have been contacting,れんらくしている (rennrakushiteiru)
have not being contacting,れんらくしていない (rennrakushiteinai)
had not been contacting,れんらくしていなかった (rennrakushiteinakatta)
will have not been contacting,れんらくしていない (rennrakushiteinai)
oppose,はんたいする (hanntaisuru)
opposed,はんたいした (hanntaishita)
will oppose,はんたいする (hanntaisuru)
doesn't oppose,はんたいしない (hanntaishinai)
didn't oppose,はんたいしなかった (hanntaishinakatta)
won't oppose,はんたいしない (hanntaishinai)
opposing,はんたいしている (hanntaishiteiru)
was opposing,はんたいしていた (hanntaishiteita)
will be opposing,はんたいしている (hanntaishiteiru)
not opposing,はんたいしていない (hanntaishiteinai)
was not opposing,はんたいしていなかった (hanntaishiteinakatta)
will not be opposing,はんたいしていない (hanntaishiteinai)
have opposed,はんたいした (hanntaishita)
had opposed,はんたいした (hanntaishita)
will have opposed,はんたいする (hanntaisuru)
have not opposed,はんたいしなかった (hanntaishinakatta)
had not opposed,はんたいしなかった (hanntaishinakatta)
will have not opposed,はんたいしない (hanntaishinai)
have being opposing,はんたいしている (hanntaishiteiru)
had been opposing,はんたいしていた (hanntaishiteita)
will have been opposing,はんたいしている (hanntaishiteiru)
have not being opposing,はんたいしていない (hanntaishiteinai)
had not been opposing,はんたいしていなかった (hanntaishiteinakatta)
will have not been opposing,はんたいしていない (hanntaishiteinai)
practice,れんしゅうする (rennshuusuru)
practiced,れんしゅうした (rennshuushita)
will practice,れんしゅうする (rennshuusuru)
doesn't practice,れんしゅうしない (rennshuushinai)
didn't practice,れんしゅうしなかった (rennshuushinakatta)
won't practice,れんしゅうしない (rennshuushinai)
practicing,れんしゅうしている (rennshuushiteiru)
was practicing,れんしゅうしていた (rennshuushiteita)
will be practicing,れんしゅうしている (rennshuushiteiru)
not practicing,れんしゅうしていない (rennshuushiteinai)
was not practicing,れんしゅうしていなかった (rennshuushiteinakatta)
will not be practicing,れんしゅうしていない (rennshuushiteinai)
have practiced,れんしゅうした (rennshuushita)
had practiced,れんしゅうした (rennshuushita)
will have practiced,れんしゅうする (rennshuusuru)
have not practiced,れんしゅうしなかった (rennshuushinakatta)
had not practiced,れんしゅうしなかった (rennshuushinakatta)
will have not practiced,れんしゅうしない (rennshuushinai)
have being practicing,れんしゅうしている (rennshuushiteiru)
had been practicing,れんしゅうしていた (rennshuushiteita)
will have been practicing,れんしゅうしている (rennshuushiteiru)
have not being practicing,れんしゅうしていない (rennshuushiteinai)
had not been practicing,れんしゅうしていなかった (rennshuushiteinakatta)
will have not been practicing,れんしゅうしていない (rennshuushiteinai)
announce,はっぴょうする (happyousuru)
announced,はっぴょうした (happyoushita)
will announce,はっぴょうする (happyousuru)
doesn't announce,はっぴょうしない (happyoushinai)
didn't announce,はっぴょうしなかった (happyoushinakatta)
won't announce,はっぴょうしない (happyoushinai)
announcing,はっぴょうしている (happyoushiteiru)
was announcing,はっぴょうしていた (happyoushiteita)
will be announcing,はっぴょうしている (happyoushiteiru)
not announcing,はっぴょうしていない (happyoushiteinai)
was not announcing,はっぴょうしていなかった (happyoushiteinakatta)
will not be announcing,はっぴょうしていない (happyoushiteinai)
have announced,はっぴょうした (happyoushita)
had announced,はっぴょうした (happyoushita)
will have announced,はっぴょうする (happyousuru)
have not announced,はっぴょうしなかった (happyoushinakatta)
had not announced,はっぴょうしなかった (happyoushinakatta)
will have not announced,はっぴょうしない (happyoushinai)
have being announcing,はっぴょうしている (happyoushiteiru)
had been announcing,はっぴょうしていた (happyoushiteita)
will have been announcing,はっぴょうしている (happyoushiteiru)
have not being announcing,はっぴょうしていない (happyoushiteinai)
had not been announcing,はっぴょうしていなかった (happyoushiteinakatta)
will have not been announcing,はっぴょうしていない (happyoushiteinai)
change,へんかする (hennkasuru)
changed,へんかした (hennkashita)
will change,へんかする (hennkasuru)
doesn't change,へんかしない (hennkashinai)
didn't change,へんかしなかった (hennkashinakatta)
won't change,へんかしない (hennkashinai)
changing,へんかしている (hennkashiteiru)
was changing,へんかしていた (hennkashiteita)
will be changing,へんかしている (hennkashiteiru)
not changing,へんかしていない (hennkashiteinai)
was not changing,へんかしていなかった (hennkashiteinakatta)
will not be changing,へんかしていない (hennkashiteinai)
have changed,へんかした (hennkashita)
had changed,へんかした (hennkashita)
will have changed,へんかする (hennkasuru)
have not changed,へんかしなかった (hennkashinakatta)
had not changed,へんかしなかった (hennkashinakatta)
will have not changed,へんかしない (hennkashinai)
have being changing,へんかしている (hennkashiteiru)
had been changing,へんかしていた (hennkashiteita)
will have been changing,へんかしている (hennkashiteiru)
have not being changing,へんかしていない (hennkashiteinai)
had not been changing,へんかしていなかった (hennkashiteinakatta)
will have not been changing,へんかしていない (hennkashiteinai)
reply,へんじする (hennjisuru)
replied,へんじした (hennjishita)
will reply,へんじする (hennjisuru)
doesn't reply,へんじしない (hennjishinai)
didn't reply,へんじしなかった (hennjishinakatta)
won't reply,へんじしない (hennjishinai)
replying,へんじしている (hennjishiteiru)
was replying,へんじしていた (hennjishiteita)
will be replying,へんじしている (hennjishiteiru)
not replying,へんじしていない (hennjishiteinai)
was not replying,へんじしていなかった (hennjishiteinakatta)
will not be replying,へんじしていない (hennjishiteinai)
have replied,へんじした (hennjishita)
had replied,へんじした (hennjishita)
will have replied,へんじする (hennjisuru)
have not replied,へんじしなかった (hennjishinakatta)
had not replied,へんじしなかった (hennjishinakatta)
will have not replied,へんじしない (hennjishinai)
have being replying,へんじしている (hennjishiteiru)
had been replying,へんじしていた (hennjishiteita)
will have been replying,へんじしている (hennjishiteiru)
have not being replying,へんじしていない (hennjishiteinai)
had not been replying,へんじしていなかった (hennjishiteinakatta)
will have not been replying,へんじしていない (hennjishiteinai)
work,しごとする (shigotosuru)
worked,しごとした (shigotoshita)
will work,しごとする (shigotosuru)
doesn't work,しごとしない (shigotoshinai)
didn't work,しごとしなかった (shigotoshinakatta)
won't work,しごとしない (shigotoshinai)
working,しごとしている (shigotoshiteiru)
was working,しごとしていた (shigotoshiteita)
will be working,しごとしている (shigotoshiteiru)
not working,しごとしていない (shigotoshiteinai)
was not working,しごとしていなかった (shigotoshiteinakatta)
will not be working,しごとしていない (shigotoshiteinai)
have worked,しごとした (shigotoshita)
had worked,しごとした (shigotoshita)
will have worked,しごとする (shigotosuru)
have not worked,しごとしなかった (shigotoshinakatta)
had not worked,しごとしなかった (shigotoshinakatta)
will have not worked,しごとしない (shigotoshinai)
have being working,しごとしている (shigotoshiteiru)
had been working,しごとしていた (shigotoshiteita)
will have been working,しごとしている (shigotoshiteiru)
have not being working,しごとしていない (shigotoshiteinai)
had not been working,しごとしていなかった (shigotoshiteinakatta)
will have not been working,しごとしていない (shigotoshiteinai)
exercise,うんどうする (unndousuru)
exercised,うんどうした (unndoushita)
will exercise,うんどうする (unndousuru)
doesn't exercise,うんどうしない (unndoushinai)
didn't exercise,うんどうしなかった (unndoushinakatta)
won't exercise,うんどうしない (unndoushinai)
exercising,うんどうしている (unndoushiteiru)
was exercising,うんどうしていた (unndoushiteita)
will be exercising,うんどうしている (unndoushiteiru)
not exercising,うんどうしていない (unndoushiteinai)
was not exercising,うんどうしていなかった (unndoushiteinakatta)
will not be exercising,うんどうしていない (unndoushiteinai)
have exercised,うんどうした (unndoushita)
had exercised,うんどうした (unndoushita)
will have exercised,うんどうする (unndousuru)
have not exercised,うんどうしなかった (unndoushinakatta)
had not exercised,うんどうしなかった (unndoushinakatta)
will have not exercised,うんどうしない (unndoushinai)
have being exercising,うんどうしている (unndoushiteiru)
had been exercising,うんどうしていた (unndoushiteita)
will have been exercising,うんどうしている (unndoushiteiru)
have not being exercising,うんどうしていない (unndoushiteinai)
had not been exercising,うんどうしていなかった (unndoushiteinakatta)
will have not been exercising,うんどうしていない (unndoushiteinai)
marry,けっこんする (kekkonnsuru)
married,けっこんした (kekkonnshita)
will marry,けっこんする (kekkonnsuru)
doesn't marry,けっこんしない (kekkonnshinai)
didn't marry,けっこんしなかった (kekkonnshinakatta)
won't marry,けっこんしない (kekkonnshinai)
marrying,けっこんしている (kekkonnshiteiru)
was marrying,けっこんしていた (kekkonnshiteita)
will be marrying,けっこんしている (kekkonnshiteiru)
not marrying,けっこんしていない (kekkonnshiteinai)
was not marrying,けっこんしていなかった (kekkonnshiteinakatta)
will not be marrying,けっこんしていない (kekkonnshiteinai)
have married,けっこんした (kekkonnshita)
had married,けっこんした (kekkonnshita)
will have married,けっこんする (kekkonnsuru)
have not married,けっこんしなかった (kekkonnshinakatta)
had not married,けっこんしなかった (kekkonnshinakatta)
will have not married,けっこんしない (kekkonnshinai)
have being marrying,けっこんしている (kekkonnshiteiru)
had been marrying,けっこんしていた (kekkonnshiteita)
will have been marrying,けっこんしている (kekkonnshiteiru)
have not being marrying,けっこんしていない (kekkonnshiteinai)
had not been marrying,けっこんしていなかった (kekkonnshiteinakatta)
will have not been marrying,けっこんしていない (kekkonnshiteinai)
graduate,そつぎょうする (sotsugyousuru)
graduated,そつぎょうした (sotsugyoushita)
will graduate,そつぎょうする (sotsugyousuru)
doesn't graduate,そつぎょうしない (sotsugyoushinai)
didn't graduate,そつぎょうしなかった (sotsugyoushinakatta)
won't graduate,そつぎょうしない (sotsugyoushinai)
graduating,そつぎょうしている (sotsugyoushiteiru)
was graduating,そつぎょうしていた (sotsugyoushiteita)
will be graduating,そつぎょうしている (sotsugyoushiteiru)
